nurses,doctors,staff,care,meds,clean,info,rating
87.309998,89.260002,81.739998,62.57,73.080002,74.190002,91.07,82.199997
81.480003,85.650002,83.120003,60.099998,64.169998,80.110001,88.720001,79.059998
89.879997,86.669998,89.900002,62.419998,74.449997,80.589996,91.620003,89.129997
85.349998,82.870003,73.57,56.419998,68.870003,70.589996,89.779999,82.919998
88.089996,89.650002,77.550003,55.830002,72.629997,80.43,91.040001,83.300003
86.949997,97.139999,76.660004,58.07,70.089996,76.599998,88.370003,85.919998
86.800003,86.18,77.010002,62.529999,75.07,74.870003,90.959999,86.760002
84.919998,87.400002,71.370003,59.470001,71.400002,74.669998,89.330002,82.169998
84.089996,85.389999,78.889999,61.470001,68.370003,67.82,91.599998,78.050003
85.540001,86.019997,80.830002,59.16,73.080002,74.839996,88.919998,84.010002
80.629997,84.959999,66.82,54.619999,66.75,75.040001,89.620003,76.779999
88.440002,86.57,79.599998,64.18,73.599998,72.040001,92.639999,86.690002
84.32,86.57,74.199997,49.25,72.089996,75.510002,84.25,71.360001
86.339996,86.519997,67.18,54.23,66.580002,73.779999,88.160004,73.370003
85.879997,85.900002,78.629997,60.759998,72.5,73.589996,90.029999,85.470001
84.510002,86.169998,77.620003,57.560001,69.540001,84.099998,89.07,86.879997
89.730003,87.660004,79.379997,64.639999,76.25,74.830002,90.199997,82.480003
88.260002,89.75,80.18,60.560001,70.82,74.459999,89.059998,81.599998
88.360001,94.379997,78.940002,51.93,81.339996,82.07,88.239998,83.379997
83.32,86.199997,80.349998,59.369999,76.699997,78.730003,93.370003,80.93
86.940002,88.540001,78.349998,55.75,71.709999,69.949997,88.739998,79.419998
84.199997,82.709999,76.709999,56.060001,67.470001,62.259998,89.839996,80.349998
87.620003,86.199997,79.269997,62.209999,72.440002,77.550003,94.790001,85.459999
86.660004,84.529999,75.980003,57.869999,67.989998,72.989998,92.010002,76.870003
86.949997,87.980003,73.68,59.57,65.540001,77.010002,87.610001,81.010002
86.540001,83.720001,72.220001,60.490002,69.370003,69.040001,89.970001,84.029999
82.839996,81.019997,77.540001,51.630001,63.91,70.389999,88.989998,75.510002
86.980003,84.029999,73,45.029999,83.129997,76.510002,80.669998,69.82
85.07,88.309998,73.529999,60.959999,70.839996,76.190002,87.470001,80.470001
87.290001,86.720001,71.110001,67.419998,72.050003,77.900002,89.169998,82.059998
85.940002,91.339996,75.809998,65.349998,72.550003,82.040001,89.269997,93.209999
85.120003,85.779999,69.870003,50.790001,69.199997,70.790001,89.269997,80.389999
85.440002,82.610001,74.57,58.389999,71.980003,77.489998,89.550003,78.269997
83.790001,81.940002,74.209999,59.459999,65.769997,71.169998,91.980003,82.239998
88.830002,85.900002,87,68.18,72.82,87.800003,93.379997,87.870003
85.419998,81.040001,70.459999,56.259998,71.699997,69.050003,90.629997,76.370003
84.190002,81.699997,75.43,56.360001,67.879997,72.260002,90.910004,77.589996
87.610001,86.089996,77.459999,56.709999,71.160004,77.449997,92.260002,78.519997
83.639999,94.949997,85.790001,46.369999,78.050003,76.650002,89.089996,78.910004
84.269997,84.989998,80.580002,60.209999,72.690002,78.18,95.07,84.059998
84.699997,85.139999,75.599998,56.619999,64.739998,73.599998,88.029999,76.309998
85.400002,87.290001,75.239998,62.5,69.699997,77.760002,89.970001,89
86.010002,84.050003,73.5,64.879997,73.489998,74.970001,91.389999,86.139999
90.169998,86.639999,83.809998,64.400002,73.220001,82.440002,91.580002,90.440002
84.349998,80.800003,71.360001,57.990002,68.040001,69.43,91.809998,81.370003
88.93,84.660004,78.970001,60.82,74.169998,78.150002,90.660004,85.459999
80.169998,82.690002,72.739998,57,64.379997,73.580002,88.470001,77.480003
83.029999,83.800003,75.800003,53.720001,68.029999,71.110001,92.199997,75.989998
81.230003,79.089996,66.080002,49.790001,67.18,63.060001,87.57,66.830002
80.730003,78.169998,73.360001,51.959999,62.459999,72.900002,83.239998,69.760002
86.019997,83.849998,75.669998,57,68.029999,73.349998,88.809998,79.779999
82.610001,86.150002,74.769997,62.220001,71.309998,72.470001,88.769997,76.190002
88,86.029999,83.349998,59.700001,72.919998,77.269997,88.790001,92.32
84.169998,86.599998,71.900002,61.139999,71.660004,67.82,91.540001,82.339996
84.660004,83.150002,76.830002,58.529999,71.860001,72.510002,93.769997,76.959999
79.139999,83.25,58.970001,54.32,63.110001,69.589996,85.040001,77.080002
82.900002,76.379997,72.169998,56.310001,64.199997,70.089996,90.139999,75.379997
