Age,Year,Death_Rate
73,2014,2473
73,2015,2489.8999
73,2016,2430.8
74,2010,2800
74,2011,2761.8
74,2012,2702.8
74,2013,2731
74,2014,2658.8
74,2015,2699.2
74,2016,2695.8
75,2010,3083.2
75,2011,3030.3999
75,2012,2984
75,2013,2954.5
75,2014,2967
75,2015,2957.6001
75,2016,2971.5
76,2010,3441.3999
76,2011,3337.8999
76,2012,3288.8999
76,2013,3284.8
76,2014,3221
76,2015,3255.3
76,2016,3170.8999
77,2010,3711.3
77,2011,3712.2
77,2012,3621.8999
77,2013,3639.3999
77,2014,3577.3
77,2015,3576.8
77,2016,3547.1001
78,2010,4125.8999
78,2011,4055.8
78,2012,4012.3
78,2013,3980.1001
78,2014,3926.7
78,2015,3945.7
78,2016,3846.2
79,2010,4448.2002
79,2011,4477.6001
79,2012,4455.5
79,2013,4435.1001
79,2014,4309.7998
79,2015,4366.1001
79,2016,4311.3999
80,2010,4964.2002
80,2011,4994.7998
80,2012,4913.3999
80,2013,4910.6001
80,2014,4873.2002
80,2015,4832.8999
80,2016,4784.6001
81,2010,5538.7002
81,2011,5479.2002
81,2012,5430.7002
81,2013,5437.2002
81,2014,5365.7002
81,2015,5432.7002
81,2016,5235.5
82,2010,6148.6001
82,2011,6155.6001
82,2012,5974
82,2013,6072.2998
82,2014,5945.7998
82,2015,6010.1001
82,2016,5913.1001
83,2010,6803
83,2011,6824.6001
83,2012,6729.5
83,2013,6595.5
83,2014,6567.2002
83,2015,6663.7998
83,2016,6464.6001
84,2010,7673.5
84,2011,7542
84,2012,7474.1001
84,2013,7489.2998
84,2014,7274.5
84,2015,7425.8999
84,2016,7227.2998
